Item,Description,Cost,Price
--PAID PARTS INVENTORY:074850,HYDRAULIC FILTER,29.3,82.05
--PAID PARTS INVENTORY:102930,MOUNTING GASKET,1.44,7.92
--PAID PARTS INVENTORY:10LN,LOCK NUT,0.74,8.14
--PAID PARTS INVENTORY:10MB-10MJ,ADAPTER,6.95,22.59
--PAID PARTS INVENTORY:10MB-10MJ90,ADAPTER,5.52,24.84
--PAID PARTS INVENTORY:12FB-8MB,ADAPTER,8.78,28.53
--PAID PARTS INVENTORY:12MB--12FP,ADAPTER,5.73,20.43
--PAID PARTS INVENTORY:12MB-10FB,ADAPTER,5.21,23.45
--PAID PARTS INVENTORY:1425,1425 MIRROR,72.0,136.8
--PAID PARTS INVENTORY:3400WINDSHEILD,3400 UTILITY VEHICLE WINDSHIELD,284.21,511.54
--PAID PARTS INVENTORY:5520,UNIVERSAL SKID STEER STEER BOLT ON MOUNTING KID,416.99,750.52
0001,"NIPPLE, GREASE",0.67,7.37
00012200,WASHER,1.36,6.99
00034,"SHIM, 1MM",6.35,20.64
000348-12P,WASHER,1.69,8.620000000000001
000350-02V,WASHER,2.46,14.25
000350-03W,WASHER,2.9,7.0
000350-20Q,WASHER,2.04,10.01
00153,"LINER, BEARING",97.52,185.29
00517,"CIRCLIP, 60MM",9.26,30.09
00603600,NUT,4.99,20.990000000000002
009456-02D,WASHER,11.63,34.35
010370-93A,ELBOW PIECE,10.39,70.85
010406X,HOSE,10.72,34.84
011454,HOSE 1/4,3.3,14.85
011456A,6FX HOSE 3/8,3.65,16.43
011458A,"HOSE, 1/2",4.06,18.27
0143785-02C,UNION,19.96,64.87
0165005010,O RING,7.62,24.76
0167176C,BOLT,3.5,15.75
01681-6,NUT,0.91,1.6400000000000001
01775-6,"FITTING, GREASE",1.14,6.140000000000001
018472-83R,CABLE STARTER,9.23,22.78
0190024050,PIN,278.82,443.45
0202524052,WASHER,18.84,60.19
0202524053,WASHER,19.97,63.8
0202524057,WASHER,24.05,66.29
0211005045,PIN,124.69,215.98
0211007110,PIN,110.27,191.14999999999998
022375-04U,UNION,9.14,29.7
0330001042,SOLENOID,46.85,131.2
0403Z,"NUT, M12 STD SELF LOCK",1.36,7.48
0433-271-890,NOZZLE,51.04,96.98
048959,FILTER,6.81,9.73
0501244015,"PISTON, CYLINDER DIPPER",433.7,701.3399999999999
06U-608,"END, HOSE",7.75,25.19
06U-L66,FITTING,20.31,56.87
072336,GAUGE,31.21,44.59
074830,FILTER,31.06,44.37
075,SNAP RINGS,0.3333,3.66667
092397,FILTER,15.23,21.76
092398,FILTER,17.95,25.64
093175-1100,SHIM,0.68,7.48
093175-1140,SHIM,0.68,7.48
093175-1160,SHIM,0.68,7.48
0932450140,GASKET,0.65,7.15
0964170040,PLUG,9.97,32.4
"1/2"" HEATER HOSE","HOSE, HEATER 1/2""",0.68,7.48
100345-09A,NUT,2.59,8.53
100374-14H,PLUG,7.14,22.189999999999998
100374-32C,PLUG,8.07,22.11
100378-03F,SHUT-OFF,27.33,64.59
100432-51C,MIRROR SIDE REAR,48.94,131.15
100496-04H,SEAL KIT,16.8,54.58
100644SUB,"DOOR, CAB ASSY",1327.64,2113.53
100886,COUPLER,7.19,23.37
1011TURBO,TURBO,674.0,1213.1
101995101CC,INSIDE REAR VIEW MIRROR,61.04,150.16
102003201CC,"FILTER, FUEL IN-LINE",2.53,9.69
10204470CC,KEY SWITCH 12V KEY START,12.99,42.22
102369401CC,"TRANSMISSION, COMPLETE ASSY",927.27,1668.95
102374901CC,BELT,35.04,94.52
102376604CC,"ROTOR, BRAKE",78.95,142.26
102410301CC,RADIATOR,235.12,393.72
102434701CC,"FILTER, FUEL",8.42,25.25
102443501CC,HOSE,15.82,50.54
102457601CC,HOSE,15.18,48.5
102465901CC,"SHAFT, CVT ADAPTER",41.78,101.82
102481601CC,"KIT, WINDSHIELD TINTED SOLID",177.39,319.28
102490001CC,BOLT,14.01,37.54
102490201CC,BOLT,1.07,10.97
102494701CC,FUEL CAP,9.9,23.51
102495801CC,"CABLE, TRANSMISSION",97.63,154.39
102498701CC,"CABLE, ACCELERATOR",19.8,51.120000000000005
102615701CC,"STUD, BALL",1.74,8.85
102615801CC,"JOINT, BALL",5.18,19.85
102657301CC,"FILTER, FUEL",19.76,29.470000000000002
102665001CC,"COIL, ASSY 12V/20A",264.27,461.03999999999996
102714001CC,"PAD, BRAKE",63.97,110.28999999999999
102719301CC,BOLT,2.65,13.59
102741001CC,"PAD, BRAKE",47.22,132.23
102865201CC,"SHAFT, DRIVE HALF",249.33,425.9
102866816CC,COWL PANEL,76.63,124.05999999999999
102883501CC,EMBLEM,7.02,21.869999999999997
102885001CC,HEADLIGHT,25.92,69.87
102885002CC,AMBER LIGHT,25.9,70.0
102892401CC,"PEDAL, ASSY",177.2,267.24
102895401CC,SCREW,1.03,10.129999999999999
102896301CC,GRILL,28.3,117.56
102896601CC,HANDLE,27.02,68.0
102943101CC,ALL TERRAIN TIRE,114.73,183.67000000000002
103174302CC,"BRAKELINE, FRONT",88.58,166.35999999999999
103208801CC,KEY SWITCH,23.18,67.80000000000001
103213501CC,HARNESS,17.79,55.699999999999996
103220101CC,TAILLIGHT,42.65,83.41
103223501CC,"KIT, CAB ENCLOSURE",1945.59,3047.0
103234401CC,KEYSET,4.51,17.36
103267001CC,"ASSY, SEAT FRONT VINYL",141.85,252.54000000000002
103278101CC,"PEDAL, ACCEL",355.21,589.53
103348101CC,"GAUGE, FUEL/HOUR",75.13,150.10999999999999
103376101CC,"CYLINDER, BRAKE",147.86,262.12
1036,SEAL,3.08,13.86
103600901CC,CABLE,11.71,36.800000000000004
103712801CC,"CALIPER, BRAKE LH",162.92,285.21000000000004
103762201CC,"SHAFT, STEERING",195.75,319.89
103829001CC,"SPRING, COMPRESSION",14.01,39.25
103848001CC,"CVT, PRIMARY GAS",325.21,569.05
103857901CC,"KIT, CVT DIESEL",431.06,726.19
103884001CC,BOLT,5.76,22.279999999999998
103955901CC,"CANOPY, BLACK",223.12,388.94
108065,FITTING,4.99,22.46
108071,COUPLING,5.69,25.61
108215,COUPLING,5.79,26.06
108374,FITTING,20.39,57.1
108565,FITTING,12.29,39.94
108600,FITTING,11.99,38.97
108649,FITTING,21.49,60.18
10977,MBHBG BOLT ON SIDES..INCLUDING FREIGHT,108.0,180.0
10C1024,5/8 BOLT,1.44,6.300000000000001
10C410,BOLT,0.76,4.46
10C412,BOLT,0.95,9.65
10C416,BOLT,2.04,6.9399999999999995
10C616,BOLT,1.73,8.62
10C620,BOLT,0.44,3.14
10C816,BOLT,1.19,6.99
10C820,BOLT,1.34,5.9399999999999995
10CM1455,BOLT,2.59,12.49
10FJX-12FJX90S,"HOSE, HYD ASSY",64.4,100.04
10FJX-12MJ,"HOSE, HYD ASSY",47.64,133.41
10FJX - 10FJX,"HOSE, HYD ASSY",39.95,111.87
10FJX90S-12FJX,"HOSE, HYD ASSY",63.59,120.82
10G2,"HOSE, HYD ASSY",82.51,164.51
10H25,"FITTING, GREASE",0.67,1.95
10H35,"FITTING, GREASE",0.67,3.2300000000000004
10J13,BALL,9.89,31.6
10J7,BALL,7.96,9.96
10J8,BALL,1.08,19.98
10K5,TEE,11.6,24.75
